id,brand,model,tip
1,آئودی, Q5,
2,آئودی, TT, کروک
3,آئودی, TT, کوپه
4,آریسان,وانت , بنزینی
5,آریسان,وانت , دوگانه سوز
6,آریو, اتوماتیک 1600cc,
7,آریو, دنده‌ای 1500cc,
8,آریو, دنده‌ای 1600cc,
9,آلفارومئو, 4C,
10,آلفارومئو, جولیتا,
11,آلفارومئو, میتو,
12,آمیکو وانت,وانت آمیکو آراز, تک دیفرانسیل
13,آمیکو وانت,وانت آمیکو آراز, دو دیفرانسیل
14,آمیکو وانت,وانت آمیکو آسنا, بنزینی
15,آمیکو وانت,وانت آمیکو آسنا, دوگانه سوز
16,اپل, آسترا استیشن,
17,اپل, آسترا سدان, جدید
18,اپل, آسترا سدان, قدیم
19,اپل, آسترا هاچبک, 1400cc
20,اپل, آسترا هاچبک, 1600cc
21,اپل, امگا,
22,اپل, اینسیگنیا,
23,اپل, کالیبرا,
24,اپل, کورسا, اتوماتیک
25,اپل, کورسا, دنده‌ای اتاق جدید
26,اپل, کورسا, دنده‌ای اتاق قدیم
27,اپل, موکا,
28,اپل, وکترا,
29,اس‌دبلیو‌ام, G01,
30,اس‌دبلیو‌ام, G01 F,
31,اسمارت, فور 2,
32,اسمارت, فور 4,
33,الدزمبیل, ریجنسی,
34,الدزمبیل, کاتلاس,
35,ام‌جی, 350,
36,ام‌جی, 360, اتوماتیک
37,ام‌جی, 360, اتوماتیک توربو
38,ام‌جی, 360, دنده‌ای
39,ام‌جی, 550,
40,ام‌جی, 6, مگنت
41,ام‌جی, 6, نیو
42,ام‌جی, 6, GT
43,ام‌جی, RX5,
44,ام‌وی‌ام, 110, ۳ سیلندر
45,ام‌وی‌ام, 110, اتوماتیک ۴ سیلندر
46,ام‌وی‌ام, 110, دنده‌ای ۴ سیلندر
47,ام‌وی‌ام, 110S, اسپرت لاکچری
48,ام‌وی‌ام, 110S, کامفورت
49,ام‌وی‌ام, 110S, لاکچری
50,ام‌وی‌ام, 315 صندوق‌دار, اسپرت
51,ام‌وی‌ام, 315 صندوق‌دار, ساده
52,ام‌وی‌ام, 315 هاچبک, اسپرت اکسلنت
53,ام‌وی‌ام, 315 هاچبک, اسپرت لاکچری
54,ام‌وی‌ام, 315 هاچبک, ساده
55,ام‌وی‌ام, 315 هاچبک پلاس,
56,ام‌وی‌ام, 530,
57,ام‌وی‌ام, 550, اتوماتیک
58,ام‌وی‌ام, 550, دنده‌ای
59,ام‌وی‌ام, X22, اتوماتیک اسپرت
60,ام‌وی‌ام, X22, اتوماتیک اسپرت اکسلنت
61,ام‌وی‌ام, X22, اتوماتیک اسپرت لاکچری
62,ام‌وی‌ام, X22, اتوماتیک ساده
63,ام‌وی‌ام, X22, اتوماتیک لاکچری
64,ام‌وی‌ام, X22, دنده‌ای اسپرت اکسلنت
65,ام‌وی‌ام, X22, دنده‌ای اسپرت لاکچری
66,ام‌وی‌ام, X22, دنده‌ای ساده
67,ام‌وی‌ام, X22, دنده‌ای لاکچری
68,ام‌وی‌ام, X22 Pro, اکسلنت
69,ام‌وی‌ام, X22 Pro, IE
70,ام‌وی‌ام, X33, اتوماتیک
71,ام‌وی‌ام, X33, دنده‌ای
72,ام‌وی‌ام, X33 S, اسپرت
73,ام‌وی‌ام, X33 S, ساده
74,ام‌وی‌ام, X33 S, نیوفیس
75,ام‌وی‌ام, X55, اکسلنت
76,ام‌وی‌ام, X55, اکسلنت اسپرت
77,ام‌وی‌ام, X55 Pro, اکسلنت
78,ام‌وی‌ام, X55 Pro, اکسلنت اسپرت
79,ایسوزو, دو کابین, D MAX
80,اینرودز, ون C35,
81,ایویکو,ون , A36
82,بایک, سابرینا, هاچبک
83,بایک, سابرینا مونتاژ, هاچبک
84,بایک, سنوا,
85,بایک, X25, اتوماتیک
86,بایک, X25, دنده ای
87,برلیانس, کراس, اتوماتیک 1500cc
88,برلیانس, کراس, اتوماتیک 1650cc
89,برلیانس, H220, اتوماتیک
90,برلیانس, H220, دنده ای
91,برلیانس, H230, اتوماتیک
92,برلیانس, H230, دنده‌ای
93,برلیانس, H320, اتوماتیک 1500cc
94,برلیانس, H320, اتوماتیک 1650cc
95,برلیانس, H320, دنده‌ای 1500cc
96,برلیانس, H320, دنده‌ای 1650cc
97,برلیانس, H330, اتوماتیک 1500cc
98,برلیانس, H330, اتوماتیک 1650cc
99,برلیانس, H330, دنده‌ای 1500cc
100,برلیانس, H330, دنده‌ای 1650cc
101,برلیانس, V5,
102,برلیانس,ون , H2L
103,بسترن, B30,
104,بسترن, B50,
105,بسترن, B50F,
106,بنز, کلاس A, A150
107,بنز, کلاس A, A170
108,بنز, کلاس A, A200
109,بنز, کلاس A, A200 توربو
110,بنز, کلاس B, ‌‌B200
111,بنز, کلاس B, B200 توربو
112,بنز, کلاس C, C180
113,بنز, کلاس C, C200
114,بنز, کلاس C, C230
115,بنز, کلاس C, C240 اتوماتیک
116,بنز, کلاس C, C240 دنده‌ای
117,بنز, کلاس C, C250
118,بنز, کلاس C, C280
119,بنز, کلاس C, C300
120,بنز, کلاس C, C350
121,بنز, کلاس C کوپه, C230
122,بنز, کلاس C کوپه, C250
123,بنز, کلاس C کوپه, C350
124,بنز, کلاس CL, CL500
125,بنز, کلاس CLA, CLA45
126,بنز, کلاس CLK کروک, CLK200
127,بنز, کلاس CLK کروک, CLK240
128,بنز, کلاس CLK کروک, CLK280
129,بنز, کلاس CLK کوپه, CLK200
130,بنز, کلاس CLS, CLS350
131,بنز, کلاس CLS, CLS500
132,بنز, کلاس CLS, CLS550
133,بنز, کلاس E, E190
134,بنز, کلاس E, E200
135,بنز, کلاس E, E220
136,بنز, کلاس E, E230
137,بنز, کلاس E, E240 اتوماتیک
138,بنز, کلاس E, E240 دنده‌ای
139,بنز, کلاس E, E250
140,بنز, کلاس E, E280
141,بنز, کلاس E, E300
142,بنز, کلاس E, E350
143,بنز, کلاس E کروک, E200
144,بنز, کلاس E کروک, E250
145,بنز, کلاس E کروک, E350
146,بنز, کلاس E کوپه, E200
147,بنز, کلاس E کوپه, E250
148,بنز, کلاس E کوپه, E350
149,بنز, کلاس E مونتاژ, E200
150,بنز, کلاس E مونتاژ, E280
151,بنز, کلاس E مونتاژ, E350
152,بنز, کلاس GLA, GLA250
153,بنز, کلاس GLA, GLA45
154,بنز, کلاس GLK, GLK350
155,بنز, کلاس ML, ML350
156,بنز, کلاس S, S280
157,بنز, کلاس S, S300
158,بنز, کلاس S, S320
159,بنز, کلاس S, S350
160,بنز, کلاس S, S500
161,بنز, کلاس S, SE
162,بنز, کلاس SL, SL350
163,بنز, کلاس SL, SL500
164,بنز, کلاس SLC,
165,بنز, کلاس SLK, SLK200
166,بنز, کلاس SLK, SLK280
167,بنز, کلاس SLK, SLK350
168,بنز, کلاسیک,
169,بنز,ون , ویتو
170,بنز,ون , MB140
171,بورگوارد, BX5, التیمیت
172,بورگوارد, BX7, التیمیت
173,بی‌ام‌و, 2002,
174,بی‌ام‌و, سری 1 کروک, 120i
175,بی‌ام‌و, سری 1 کروک, 125i
176,بی‌ام‌و, سری 1 کوپه,
177,بی‌ام‌و, سری 1 هاچبک, 118i
178,بی‌ام‌و, سری 1 هاچبک, 120i
179,بی‌ام‌و, سری 1 هاچبک, 125i
180,بی‌ام‌و, سری 2 اکتیوتور, 218i
181,بی‌ام‌و, سری 2 کروک, 220i
182,بی‌ام‌و, سری 2 کروک, 230i
183,بی‌ام‌و, سری 2 کوپه, 220i
184,بی‌ام‌و, سری 2 کوپه, 230i
185,بی‌ام‌و, سری 3 سدان, 316i
186,بی‌ام‌و, سری 3 سدان, 318i اتوماتیک
187,بی‌ام‌و, سری 3 سدان, 318i دنده‌ای
188,بی‌ام‌و, سری 3 سدان, 320i
189,بی‌ام‌و, سری 3 سدان, 325i
190,بی‌ام‌و, سری 3 سدان, 328i
191,بی‌ام‌و, سری 3 سدان, 330i
192,بی‌ام‌و, سری 3 کروک, 320i
193,بی‌ام‌و, سری 3 کروک, 325i
194,بی‌ام‌و, سری 3 کروک, 330i
195,بی‌ام‌و, سری 3 کروک, 335i
196,بی‌ام‌و, سری 3 کوپه, 320i
197,بی‌ام‌و, سری 3 کوپه, 325i
198,بی‌ام‌و, سری 3 کوپه, 330i
199,بی‌ام‌و, سری 3 کوپه, 335i
200,بی‌ام‌و, سری 3 GT, 328i
201,بی‌ام‌و, سری 4 کروک, 428i
202,بی‌ام‌و, سری 4 کوپه, 420i
203,بی‌ام‌و, سری 4 کوپه, 428i
204,بی‌ام‌و, سری 4 گرن کوپه, 420i
205,بی‌ام‌و, سری 4 گرن کوپه, 428i
206,بی‌ام‌و, سری 5 سدان, 518
207,بی‌ام‌و, سری 5 سدان, 520i
208,بی‌ام‌و, سری 5 سدان, 523i
209,بی‌ام‌و, سری 5 سدان, 525i
210,بی‌ام‌و, سری 5 سدان, 528i
211,بی‌ام‌و, سری 5 سدان, 530i
212,بی‌ام‌و, سری 5 سدان, 530xi
213,بی‌ام‌و, سری 5 سدان, 535i
214,بی‌ام‌و, سری 5 سدان, 540i
215,بی‌ام‌و, سری 5 سدان, 550i
216,بی‌ام‌و, سری 5 GT, 528i
217,بی‌ام‌و, سری 5 GT, 535i
218,بی‌ام‌و, سری 6 کروک, 630i
219,بی‌ام‌و, سری 6 کروک, 650i
220,بی‌ام‌و, سری 6 کروک, M6
221,بی‌ام‌و, سری 6 کوپه, 630i
222,بی‌ام‌و, سری 6 کوپه, 640i
223,بی‌ام‌و, سری 6 کوپه, 650i
224,بی‌ام‌و, سری 6 گرن کوپه, 640i
225,بی‌ام‌و, سری 6 گرن کوپه, 650i
226,بی‌ام‌و, سری 6 گرن کوپه, M6
227,بی‌ام‌و, سری 7, 730i
228,بی‌ام‌و, سری 7, 730li
229,بی‌ام‌و, سری 7, 740li
230,بی‌ام‌و, سری 7, 750li
231,بی‌ام‌و, کلاسیک,
232,بی‌ام‌و, i8,
233,بی‌ام‌و, X1, 18i
234,بی‌ام‌و, X1, 20i
235,بی‌ام‌و, X1, 25i
236,بی‌ام‌و, X1, 28i
237,بی‌ام‌و, X3, 25i
238,بی‌ام‌و, X3, 28i
239,بی‌ام‌و, X3, 30i
240,بی‌ام‌و, X3, 35i
241,بی‌ام‌و, X4, 28i
242,بی‌ام‌و, X5, 50i
243,بی‌ام‌و, X6, 35i
244,بی‌ام‌و, X6, 50i
245,بی‌ام‌و, z3,
246,بی‌ام‌و, Z4, 20i
247,بی‌ام‌و, Z4, 23i
248,بی‌ام‌و, Z4, 28i
249,بی‌ام‌و, Z4, 30i
250,بی‌ام‌و, Z4, 35i
251,بیسو, T3,
252,بی‌‌وای‌دی, F3,
253,بی‌‌وای‌دی, S6,
254,بی‌‌وای‌دی, S7,
255,بیوک, B2,
256,بیوک, B3,
257,بیوک, B3 مونتاژ,
258,پاژن, 2 در,
259,پاژن, 4 در, 4 سیلندر
260,پاژن, 4 در, 6 سیلندر
261,پاژن, هرور,
262,پراید, 111, EX
263,پراید, 111, SE
264,پراید, 111, SL
265,پراید, 111, SX
266,پراید, 131, دوگانه سوز
267,پراید, 131, EX
268,پراید, 131, LE
269,پراید, 131, SE
270,پراید, 131, SL
271,پراید, 131, SX
272,پراید, 131, TL
273,پراید, 132, دوگانه سوز
274,پراید, 132, ساده
275,پراید, 132, EX
276,پراید, 132, SE
277,پراید, 132, SL
278,پراید, 132, SX
279,پراید, 141, دوگانه سوز
280,پراید, 141, ساده
281,پراید, 141, EX
282,پراید, 141, SE
283,پراید, 141, SX
284,پراید, اتوماتیک,
285,پراید, سفری,
286,پراید, صندوق‌دار, بنزینی
287,پراید, صندوق‌دار, CNG
288,پراید, صندوق‌دار, LPG
289,پراید, هاچبک,
290,پراید,وانت  151, پلاس
291,پراید,وانت  151, دوگانه سوز
292,پراید,وانت  151, SE
293,پراید,وانت  151, SL
294,پروتون, ایمپین,
295,پروتون, جن تو, اتوماتیک
296,پروتون, جن تو, دنده‌ای
297,پروتون, ویرا, اتوماتیک
298,پروتون, ویرا, دنده‌ای
299,پژو, 2008,
300,پژو, 205,
301,پژو, 206, تیپ ۱
302,پژو, 206, تیپ ۲
303,پژو, 206, تیپ ۳
304,پژو, 206, تیپ ۴
305,پژو, 206, تیپ ۵
306,پژو, 206, تیپ ۶
307,پژو, 206 SD, V1
308,پژو, 206 SD, V10
309,پژو, 206 SD, V19
310,پژو, 206 SD, V2
311,پژو, 206 SD, V20
312,پژو, 206 SD, V6
313,پژو, 206 SD, V8
314,پژو, 206 SD, V9
315,پژو, 207i, اتوماتیک
316,پژو, 207i, اتوماتیک MC
317,پژو, 207i, پانوراما اتوماتیک
318,پژو, 207i, پانوراما دنده‌ای
319,پژو, 207i, دنده‌ای
320,پژو, 207i SD, اتوماتیک
321,پژو, 207i SD, دنده‌ای
322,پژو, 301,
323,پژو, 404,
324,پژو, 405, استیشن
325,پژو, 405, بنزینی GLX - TU5
326,پژو, 405, دوگانه سوز GLX - TU5
327,پژو, 405, GL - دوگانه سوز CNG
328,پژو, 405, GL - دوگانه سوز LPG
329,پژو, 405, GL بنزینی
330,پژو, 405, GLi - دوگانه سوز CNG
